x,y,index
0.025,0.025,0
0.05,0.05,1
0.075,0.075,2
0.1,0.1,3
0.125,0.125,4
0.15,0.15,5
0.175,0.175,6
0.2,0.175,7
0.225,0.2,8
0.25,0.225,9
0.25,0.25,10
0.25,0.275,11
0.25,0.3,12
0.25,0.325,13
0.25,0.35,14
0.25,0.375,15
0.225,0.4,16
0.2,0.425,17
0.175,0.45,18
0.15,0.475,19
0.125,0.5,20
0.1,0.5,21
0.075,0.5,22
0.05,0.5,23
0.025,0.5,24
0,0.5,25
-0.025,0.5,26
-0.05,0.5,27
-0.075,0.5,28
-0.1,0.5,29
-0.125,0.5,30
-0.15,0.5,31
-0.175,0.5,32
-0.2,0.5,33
-0.225,0.5,34
-0.25,0.5,35
-0.275,0.5,36
-0.3,0.5,37
-0.325,0.5,38
-0.35,0.5,39
